freq,CH1,,freq2,CH2
-0.24567049,-0.09582830156650164,,-0.24567049,0.2408485640807587
-0.24565486,-0.09569447873128276,,-0.24565486,0.23129460364188595
-0.24563923000000001,-0.09596212440172054,,-0.24563923000000001,0.205817375804892
-0.2456236,-0.09462389604953157,,-0.2456236,0.218555989723389
-0.24560797,-0.09622977007215834,,-0.24560797,0.20900202928451625
-0.24559234,-0.09649741574259613,,-0.24559234,0.218555989723389
-0.24557671,-0.09743417558912841,,-0.24557671,0.19944806884564353
-0.24556108000000001,-0.09582830156650164,,-0.24556108000000001,0.21537133624376475
-0.24554545,-0.09435625037909379,,-0.24554545,0.19944806884564353
-0.24552982,-0.09529301022562606,,-0.24552982,0.21537133624376475
-0.24551419,-0.09663123857781503,,-0.24551419,0.20900202928451625
-0.24549856,-0.09636359290737724,,-0.24549856,0.1962634153660193
-0.24548293000000002,-0.09542683306084496,,-0.24548293000000002,0.20900202928451625
-0.2454673,-0.09596212440172054,,-0.2454673,0.1962634153660193
-0.24545167,-0.09515918739040716,,-0.24545167,0.20263272232526777
-0.24543604,-0.09676506141303393,,-0.24543604,0.1898941084067708
-0.24542041,-0.09636359290737724,,-0.24542041,0.1962634153660193
-0.24540478000000002,-0.09462389604953157,,-0.24540478000000002,0.1898941084067708
-0.24538915,-0.09703270708347171,,-0.24538915,0.19307876188639506
-0.24537352,-0.09435625037909379,,-0.24537352,0.205817375804892
-0.24535789,-0.09663123857781503,,-0.24535789,0.19307876188639506
-0.24534226,-0.09636359290737724,,-0.24534226,0.18034014796789807
-0.24532663,-0.09569447873128276,,-0.24532663,0.1739708410086496
-0.245311,-0.09636359290737724,,-0.245311,0.19944806884564353
-0.24529537,-0.09515918739040716,,-0.24529537,0.18034014796789807
-0.24527974,-0.09529301022562606,,-0.24527974,0.17715549448827383
-0.24526411,-0.09609594723693944,,-0.24526411,0.1676015340494011
-0.24524848,-0.09609594723693944,,-0.24524848,0.18034014796789807
-0.24523285,-0.09556065589606386,,-0.24523285,0.18034014796789807
-0.24521722,-0.09596212440172054,,-0.24521722,0.18670945492714655
-0.24520159,-0.09569447873128276,,-0.24520159,0.17715549448827383
-0.24518596,-0.09529301022562606,,-0.24518596,0.17078618752902536
-0.24517033,-0.09582830156650164,,-0.24517033,0.1835248014475223
-0.2451547,-0.09515918739040716,,-0.2451547,0.17715549448827383
-0.24513907000000001,-0.09556065589606386,,-0.24513907000000001,0.1676015340494011
-0.24512344,-0.09636359290737724,,-0.24512344,0.1516782666512799
-0.24510781,-0.09475771888475047,,-0.24510781,0.17078618752902536
-0.24509218,-0.09475771888475047,,-0.24509218,0.17078618752902536
-0.24507655,-0.09609594723693944,,-0.24507655,0.15486292013090414
-0.24506092000000002,-0.09542683306084496,,-0.24506092000000002,0.17078618752902536
-0.24504529,-0.09636359290737724,,-0.24504529,0.14849361317165566
-0.24502966,-0.09475771888475047,,-0.24502966,0.1612322270901526
-0.24501403,-0.09609594723693944,,-0.24501403,0.1612322270901526
-0.2449984,-0.09676506141303393,,-0.2449984,0.16441688056977685
-0.24498277000000002,-0.09716652991869061,,-0.24498277000000002,0.16441688056977685
-0.24496714,-0.09475771888475047,,-0.24496714,0.1676015340494011
-0.24495151,-0.09743417558912841,,-0.24495151,0.1516782666512799
-0.24493588,-0.09609594723693944,,-0.24493588,0.1516782666512799
-0.24492025,-0.09515918739040716,,-0.24492025,0.14849361317165566
-0.24490462000000002,-0.09569447873128276,,-0.24490462000000002,0.14212430621240715
-0.24488899,-0.09703270708347171,,-0.24488899,0.14212430621240715
-0.24487336,-0.0978356440947851,,-0.24487336,0.1453089596920314
-0.24485773,-0.09609594723693944,,-0.24485773,0.13893965273278291
-0.2448421,-0.09542683306084496,,-0.2448421,0.14849361317165566
-0.24482647000000002,-0.09556065589606386,,-0.24482647000000002,0.15486292013090414
